34,"2022-01-11 11:00:00","2022-01-11 11:00:00","TOUR OF THE ALPS","2023-04-17 11:00:00","2023-04-21 11:00:00",2.PRO,"Corse Pro Series"
35,"2022-01-11 11:00:00","2022-01-11 11:00:00","LA FLÈCHE WALLONE","2023-04-19 11:00:00",NULL,1.UWT,"Corse World Tour "
36,"2022-01-11 11:00:00","2022-01-11 11:00:00","LIÈGE- BASTOGNE- LIÈGE","2023-04-23 11:00:00",NULL,1.UWT,"Corse World Tour "
37,"2022-01-11 11:00:00","2022-01-11 11:00:00","GIRO TURCHIA","2023-04-23 11:00:00","2023-04-30 11:00:00",2.PRO,"Corse Pro Series"
38,"2022-01-11 11:00:00","2022-01-11 11:00:00","TOUR DE ROMANDIE","2023-04-25 11:00:00","2023-04-30 11:00:00",2.UWT,"Corse World Tour "
39,"2022-01-11 11:00:00","2022-01-11 11:00:00",ESCHBORN-FRANKFURT,"2023-05-01 11:00:00",NULL,1.UWT,"Corse World Tour "
40,"2022-01-11 11:00:00","2022-01-11 11:00:00","GIRO D'ITALIA","2023-05-06 11:00:00","2023-05-28 11:00:00",2.UWT,"Corse World Tour "
41,"2022-01-11 11:00:00","2022-01-11 11:00:00","GIRO DELL'APPENNINO","2023-06-02 11:00:00",NULL,1.1,"Corse Euope Tour"
42,"2022-01-11 11:00:00","2022-01-11 11:00:00","CRITÉRIUM DU DAUPHINÉ","2023-06-04 11:00:00","2023-06-11 11:00:00",2.UWT,"Corse World Tour "
43,"2022-01-11 11:00:00","2022-01-11 11:00:00","BRUSSELS CYCLING CLASSIC","2023-06-04 11:00:00",NULL,1.PRO,"Corse Pro Series"
44,"2022-01-11 11:00:00","2022-01-11 11:00:00","TOUR DE SUISSE","2023-06-11 11:00:00","2023-06-18 11:00:00",2.UWT,"Corse World Tour "
45,"2022-01-11 11:00:00","2022-01-11 11:00:00","TOUR OF SLOVENIA","2023-06-14 11:00:00","2023-06-18 11:00:00",2.PRO,"Corse Pro Series"
46,"2022-01-11 11:00:00","2022-01-11 11:00:00","TOUR DE FRANCE","2023-07-01 11:00:00","2023-07-23 11:00:00",2.UWT,"Corse World Tour "
47,"2022-01-11 11:00:00","2022-01-11 11:00:00","DONOSTIA SAN SEBASTIÁN KLASIKOA","2023-07-29 11:00:00",NULL,1.UWT,"Corse World Tour "
48,"2022-01-11 11:00:00","2022-01-11 11:00:00","TOUR DE POLOGNE","2023-07-29 11:00:00","2023-08-04 11:00:00",2.UWT,"Corse World Tour "
49,"2022-01-11 11:00:00","2022-01-11 11:00:00","CAMPIONATO MONDIALE PROVA IN LINEA","2023-08-06 11:00:00",NULL,WC,"campionati mondiali"
50,"2022-01-11 11:00:00","2022-01-11 11:00:00","CAMPIONATO MONDIALE CRONOMETRO","2023-08-11 11:00:00",NULL,WC,"campionati mondiali"
51,"2022-01-11 11:00:00","2022-01-11 11:00:00","VUELTA A BURGOS","2023-08-15 11:00:00","2023-08-19 11:00:00",2.PRO,"Corse Pro Series"
52,"2022-01-11 11:00:00","2022-01-11 11:00:00","BEMER CYCLASSIC","2023-08-20 11:00:00",NULL,1.UWT,"Corse World Tour "
53,"2022-01-11 11:00:00","2022-01-11 11:00:00","BENELUX TOUR","2023-08-23 11:00:00","2023-08-29 11:00:00",2.UWT,"Corse World Tour "
54,"2022-01-11 11:00:00","2022-01-11 11:00:00","LA VUELTA CICLISTA A ESPAÑA","2023-08-26 11:00:00","2023-09-17 11:00:00",2.UWT,"Corse World Tour "
55,"2022-01-11 11:00:00","2022-01-11 11:00:00","BRETAGNE CLASSIC OUEST-FRANCE","2023-09-03 11:00:00",NULL,1.UWT,"Corse World Tour "
56,"2022-01-11 11:00:00","2022-01-11 11:00:00","TOUR OF BRITAIN","2023-09-03 11:00:00","2023-09-10 11:00:00",2.PRO,"Corse Pro Series"
57,"2022-01-11 11:00:00","2022-01-11 11:00:00","GRAN PRIX CYCLISTE DE QUÉBEC","2023-09-08 11:00:00",NULL,1.UWT,"Corse World Tour "
58,"2022-01-11 11:00:00","2022-01-11 11:00:00","GRAN PRIX CYCLISTE DE MONTRÉAL","2023-09-10 11:00:00",NULL,1.UWT,"Corse World Tour "
59,"2022-01-11 11:00:00","2022-01-11 11:00:00","GP DE FOURMIES - LA VOIX DU NORD","2023-09-10 11:00:00",NULL,1.PRO,"Corse Pro Series"
60,"2022-01-11 11:00:00","2022-01-11 11:00:00","GRAN PRIX DE WALLONIE","2023-09-13 11:00:00",NULL,1.PRO,"Corse Pro Series"
61,"2022-01-11 11:00:00","2022-01-11 11:00:00","COPPA SABATINI","2023-09-14 11:00:00",NULL,1.PRO,"Corse Pro Series"
62,"2022-01-11 11:00:00","2022-01-11 11:00:00","MEMORIAL PANTANI","2023-09-16 11:00:00",NULL,1.1,"Corse Europe Cup oppure continental"
63,"2022-01-11 11:00:00","2022-01-11 11:00:00","PRIMUS CLASSIC","2023-09-16 11:00:00",NULL,1.PRO,"Corse Pro Series"
64,"2022-01-11 11:00:00","2022-01-11 11:00:00","CRONOMETRO INDIVIDUALE ÉLITE EUROPEI","2023-09-19 11:00:00",NULL,CC,"Campionati europei"
65,"2022-01-11 11:00:00","2022-01-11 11:00:00","SKODA TOUR OF LUXEMBOURG","2023-09-20 11:00:00","2023-09-24 11:00:00",2.PRO,"Corse Pro Series"
66,"2022-01-11 11:00:00","2022-01-11 11:00:00","PROVA IN LINEA ÉLITE EUROPEI","2023-09-24 11:00:00",NULL,CC,"Campionati europei"
